Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,0.1uF,C_0603_1608Metric,133.109,-85.6488,0,bottom
C4,0.1uF,C_0603_1608Metric,138.3826,-87.7631,180,bottom
C5,0.1uF,C_0603_1608Metric,129.5908,-90.4624,90,bottom
C6,0.002uF,C_0603_1608Metric,115.57,-93.726,180,bottom
C7,0.1uF,C_0603_1608Metric,127.2286,-112.2182,180,bottom
C8,0.1uF,C_0603_1608Metric,127.2416,-119.0762,0,bottom
C9,1uF,C_0603_1608Metric,107.95,-127.392,180,bottom
C10,0.1uF,C_0603_1608Metric,107.95,-130.07,180,bottom
C11,0.1uF,C_0603_1608Metric,154.064,-133.4008,180,bottom
D1,1N4148WS,Diode_1N4148WS,122.832,-98.698,0,bottom
R1,187K,R_0603_1608Metric,138.4326,-83.9531,0,bottom
R2,25.5K,R_0603_1608Metric,138.43,-85.810475,0,bottom
R3,10K,R_0603_1608Metric,133.096,-87.4268,0,bottom
R4,1.82K,R_0603_1608Metric,130.048,-86.4738,90,bottom
R5,80.6K,R_0603_1608Metric,114.808,-86.868,180,bottom
R6,4.7K,R_0603_1608Metric,134.937,-91.694,180,bottom
R7,80.6K,R_0603_1608Metric,131.3688,-90.4624,-90,bottom
R8,22K,R_0603_1608Metric,134.937,-93.472,0,bottom
R9,4.7K,R_0603_1608Metric,130.365,-93.0148,0,bottom
R10,30.1K,R_0603_1608Metric,111.76,-94.996,-90,bottom
R11,20K,R_0603_1608Metric,109.982,-94.933,90,bottom
R12,10K,R_0603_1608Metric,131.1402,-95.504,90,bottom
R13,10K,R_0603_1608Metric,129.6162,-95.504,-90,bottom
R14,1M,R_0603_1608Metric,127.762,-95.504,-90,bottom
R15,110K,R_0603_1608Metric,116.332,-96.329,-90,bottom
R16,80.6K,R_0603_1608Metric,132.3976,-101.9495,90,bottom
R17,10K,R_0603_1608Metric,113.6772,-105.7402,180,bottom
R18,22K,R_0603_1608Metric,113.7158,-107.4674,0,bottom
R19,10K,R_0603_1608Metric,132.3086,-110.9472,-90,bottom
R20,80.6K,R_0603_1608Metric,127.2286,-110.6942,180,bottom
R21,10K,R_0603_1608Metric,132.3086,-114.7572,-90,bottom
R22,1M,R_0603_1608Metric,129.3236,-115.5202,0,bottom
R23,10K,R_0603_1608Metric,127.2408,-113.792,180,bottom
R24,16.2K,R_0603_1608Metric,129.3236,-117.094,180,bottom
R25,3.65K,R_0603_1608Metric,126.492,-116.2944,-90,bottom
R26,10K,R_0603_1608Metric,121.095,-122.682,0,bottom
R27,10K,R_0603_1608Metric,108.013,-122.036,180,bottom
R28,10K,R_0603_1608Metric,121.095,-125.36,180,bottom
R29,10K,R_0603_1608Metric,108.013,-124.714,180,bottom
R30,3.9M,R_0603_1608Metric,121.095,-128.038,180,bottom
U1, LM324DR,SOIC-14_3.9x8.7mm_P1.27mm,121.158,-91.948,180,bottom
U2, LM324DR,SOIC-14_3.9x8.7mm_P1.27mm,120.142,-111.252,180,bottom
U3,ADS1015IDGSR,DGS0010A_N,114.554,-127.254,180,bottom
C1,330uF,CP_Radial_D10.0mm_P5.00mm,149.270323,-127.508,180,top
C2,330uF,CP_Radial_D10.0mm_P5.00mm,149.352,-139.446,180,top
J1,Conn_02x03_Top_Bottom,PinSocket_2x03_P2.54mm_Vertical,123.698,-68.326,0,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,137.399,-68.58,-90,top
J3,Screw_Terminal_01x04,Terminal_Strip_4_Pin,166.0825,-108.195,90,top
J4,DIN-5,DIN_5_PIN,167.95,-126.746,-90,top
J5,Conn_02x03_Top_Bottom,PinSocket_2x03_P2.54mm_Vertical,123.698,-137.16,0,top
RV1,20K POT,Potentiometer_Bourns_3386P_Vertical,146.558,-104.14,0,top
RV2,20K POT,Potentiometer_Bourns_3386P_Vertical,146.573,-116.586,0,top
SW1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,144.78,-71.882,0,top
TP1,.55 Vdc,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,136.144,-80.01,0,top
TP2,.75 Vdc,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,136.398,-122.682,0,top
